Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,0.028200,-0.009800,78.942500,1.156605,4.455582,-4.545428,-2.795404,-0.723531,3.119240,10.532740,-12.095139,0.650250,-4.721516,-2.285070,-0.373511,14.313001,-13.565062,3.039942,-1.088563,0.037414,-0.892783,8.582449,87.393883,-4.449017,85.899953,3.497793,15.803952,10.225520,2.317041,-94.699839,-2.602374,85.498653,2.927757,8.930464,-5.836836
1.000000,0.061600,-0.009100,78.924300,1.435130,4.717586,-4.254762,-2.628157,-1.059055,3.011638,9.785603,-11.970865,0.695284,-4.789068,-2.717252,-0.623092,14.050300,-13.860709,3.247296,-1.395267,-0.192055,-1.181955,10.344295,86.044395,-3.592904,82.160200,2.541870,19.536199,11.825104,5.326903,-94.400584,-4.184253,81.622593,4.355109,12.388493,-6.654847
2.000000,0.077000,-0.014400,78.921900,1.647789,4.885970,-4.025055,-2.715132,-1.315798,2.850694,9.664767,-11.903141,0.714593,-4.921937,-3.004190,-0.797271,14.038440,-13.907576,3.293762,-1.619293,-0.374313,-1.372062,12.092503,85.665441,-2.466411,79.598620,1.897980,21.694302,12.321801,8.230195,-94.215919,-5.858723,78.983263,5.299057,14.657578,-7.087717
3.000000,0.091300,-0.017700,78.922600,1.806329,5.012320,-3.841412,-2.823307,-1.510030,2.713356,9.652162,-11.872144,0.730808,-5.029022,-3.211772,-0.935583,14.047149,-13.924250,3.313415,-1.782243,-0.512740,-1.513239,13.711568,85.586659,-1.205446,77.813914,1.570305,22.969592,12.541187,10.807359,-94.107458,-7.765870,77.122182,5.960881,16.151451,-7.389952
4.000000,0.106400,-0.018000,78.923500,1.919686,5.109031,-3.694994,-2.906959,-1.653499,2.601687,9.645630,-11.853236,0.746106,-5.107002,-3.363205,-1.049315,14.053853,-13.934505,3.327911,-1.902105,-0.620742,-1.622158,15.140009,85.553199,0.106169,76.531004,1.508655,23.784567,12.688093,13.114259,-93.997565,-9.811157,75.723076,6.345107,17.150460,-7.601087
5.000000,0.121100,-0.016100,78.924100,2.003265,5.182932,-3.578439,-2.966489,-1.762246,2.513107,9.633712,-11.841090,0.758940,-5.164355,-3.478026,-1.141790,14.062160,-13.942355,3.340401,-1.991429,-0.704853,-1.706841,16.358747,85.498252,1.450500,75.564768,1.640435,24.331856,12.778907,15.239990,-93.859769,-11.887671,74.581687,6.417070,17.783808,-7.724273
6.000000,0.133900,-0.011400,78.924500,2.064029,5.237580,-3.484822,-3.009575,-1.845841,2.442920,9.622368,-11.831063,0.768852,-5.206124,-3.566605,-1.217249,14.072646,-13.950033,3.351803,-2.058981,-0.770628,-1.773247,17.408062,85.413626,2.783028,74.797749,1.951208,24.691387,12.809102,17.199849,-93.695559,-13.981373,73.604450,6.207769,18.163679,-7.820530
7.000000,0.144000,-0.004700,78.924600,2.110201,5.277607,-3.410312,-3.043323,-1.911903,2.388432,9.617097,-11.824588,0.777504,-5.238037,-3.637136,-1.277467,14.085537,-13.958856,3.362804,-2.111178,-0.821621,-1.825615,18.329206,85.298060,4.076308,74.169845,2.423210,24.911689,12.752379,18.994640,-93.502587,-16.094728,72.739742,5.761950,18.434344,-7.922918
8.000000,0.151000,0.004600,78.924200,2.145995,5.306451,-3.357445,-3.070309,-1.965704,2.350559,9.618586,-11.822870,0.789479,-5.266571,-3.694375,-1.319121,14.103127,-13.969570,3.373862,-2.151858,-0.860353,-1.866467,19.144124,85.157113,5.341342,73.652178,3.018628,25.033271,12.640881,20.586832,-93.270195,-18.276781,71.948717,5.172663,18.733543,-8.006168
9.000000,0.155000,0.016800,78.923600,2.172517,5.326792,-3.324767,-3.091680,-2.009019,2.328844,9.624774,-11.824932,0.803516,-5.295333,-3.740097,-1.342727,14.127420,-13.980399,3.385779,-2.182969,-0.889746,-1.897980,19.866223,84.995882,6.605344,73.223491,3.695635,25.086098,12.535056,22.021919,-93.001593,-20.488226,71.203012,4.439735,19.085052,-8.037509
10.000000,0.156200,0.031900,78.922700,2.192137,5.340827,-3.308922,-3.109155,-2.045001,2.321797,9.634457,-11.830089,0.818871,-5.324497,-3.777568,-1.350977,14.155782,-13.990369,3.398843,-2.205429,-0.911690,-1.921586,20.517218,84.813682,7.875018,72.869116,4.430740,25.109818,12.453983,23.325341,-92.702738,-22.702765,70.474153,3.569527,19.487899,-7.999923
11.000000,0.154600,0.049500,78.921800,2.206830,5.348171,-3.304439,-3.122906,-2.075712,2.325063,9.648151,-11.838110,0.836346,-5.351884,-3.809367,-1.348284,14.185576,-13.998505,3.413224,-2.218607,-0.927791,-1.939233,21.117334,84.607303,9.138791,72.576564,5.211853,25.166140,12.351423,24.517036,-92.376381,-24.901777,69.748559,2.572179,19.923003,-7.880863
12.000000,0.150300,0.070200,78.921000,2.216140,5.349613,-3.310756,-3.133506,-2.102239,2.337611,9.664881,-11.848194,0.855655,-5.376922,-3.836468,-1.335966,14.214567,-14.003891,3.428866,-2.223248,-0.939364,-1.952067,21.666284,84.386886,10.403653,72.307560,6.028547,25.231400,12.240556,25.610755,-92.025616,-27.069849,69.025200,1.459037,20.363035,-7.682046
13.000000,0.143500,0.093100,78.920300,2.220423,5.346577,-3.324273,-3.141642,-2.124642,2.356117,9.682414,-11.858622,0.876568,-5.398867,-3.859043,-1.317287,14.240293,-14.005438,3.445596,-2.219810,-0.948589,-1.961063,22.166763,84.159937,11.678140,72.047495,6.872285,25.287664,12.131465,26.606384,-91.650615,-29.196382,68.292673,0.244768,20.847012,-7.430346
14.000000,0.134200,0.117600,78.919800,2.222257,5.339914,-3.343365,-3.147544,-2.144868,2.379551,9.698972,-11.868019,0.898627,-5.417660,-3.878982,-1.293567,14.261034,-14.003719,3.463014,-2.209554,-0.956209,-1.966850,22.632864,83.929264,12.948044,71.783247,7.755213,25.356247,12.026098,27.499912,-91.247139,-31.279313,67.520326,-1.053612,21.291284,-7.144841
15.000000,0.122500,0.143200,78.919800,2.223367,5.332161,-3.366411,-3.151440,-2.165036,2.406194,9.710260,-11.873634,0.921832,-5.434218,-3.898462,-1.266237,14.275129,-13.997187,3.481349,-2.193798,-0.962225,-1.969428,23.064244,83.687304,14.197550,71.417871,8.698130,25.545667,11.913741,28.291739,-90.818108,-33.301739,66.718128,-2.419945,21.695563,-6.822438
16.000000,0.108500,0.169500,78.920400,2.223441,5.322451,-3.390802,-3.154476,-2.185548,2.429742,9.718109,-11.875868,0.944406,-5.446308,-3.917198,-1.238276,14.279827,-13.985040,3.499741,-2.173687,-0.967095,-1.968969,23.477118,83.439099,15.441098,71.064872,9.690550,25.714346,11.796399,28.988972,-90.368450,-35.252260,65.918737,-3.835265,22.045869,-6.463537
17.000000,0.092100,0.196000,78.921800,2.221065,5.312528,-3.413820,-3.156826,-2.203366,2.453463,9.719484,-11.873347,0.967840,-5.449058,-3.933756,-1.213868,14.263555,-13.961950,3.518247,-2.150826,-0.970992,-1.964959,23.862661,83.183903,16.678057,70.716686,10.728348,25.882681,11.663702,29.590520,-89.911975,-37.114716,65.139629,-5.278202,22.346042,-6.072092
18.000000,0.073000,0.221900,78.924000,2.216925,5.301899,-3.433255,-3.160263,-2.218894,2.473344,9.717479,-11.866414,0.990472,-5.445104,-3.948367,-1.194273,14.232214,-13.930552,3.535551,-2.126877,-0.973914,-1.957281,24.222650,82.921202,17.906192,70.355207,11.812614,26.051818,11.499378,30.091056,-89.463177,-38.870431,64.392549,-6.728243,22.613097,-5.657557
19.000000,0.051100,0.246600,78.926600,2.214951,5.290447,-3.448588,-3.165649,-2.234822,2.491220,9.715875,-11.854382,1.013677,-5.442755,-3.964639,-1.178116,14.202363,-13.898409,3.551536,-2.103786,-0.974659,-1.946166,24.548434,82.659475,19.142921,69.979633,12.931887,26.196662,11.327089,30.485595,-89.028130,-40.495912,63.675092,-8.167685,22.871100,-5.230646
20.000000,0.025100,0.271300,78.929200,2.214029,5.275645,-3.455669,-3.175790,-2.252297,2.506461,9.718338,-11.839944,1.037856,-5.444188,-3.983718,-1.169521,14.183456,-13.870220,3.567579,-2.083848,-0.973742,-1.933561,24.827980,82.397748,20.402683,69.600392,14.069208,26.298534,11.170156,30.773563,-88.613194,-41.980045,62.989490,-9.577333,23.141422,-4.802933
21.000000,-0.004500,0.294100,78.931700,2.216078,5.259484,-3.453799,-3.193266,-2.271491,2.514196,9.728881,-11.825219,1.061920,-5.449573,-4.003886,-1.165740,14.172741,-13.844895,3.583966,-2.067862,-0.971736,-1.919924,25.052981,82.131896,21.696422,69.230204,15.204638,26.373247,11.048918,30.964301,-88.219400,-43.313260,62.335001,-10.943780,23.403607,-4.382210
22.000000,-0.036900,0.316700,78.934000,2.217145,5.248255,-3.447639,-3.223461,-2.291717,2.514425,9.748189,-11.811582,1.084552,-5.466934,-4.024627,-1.166427,14.171767,-13.822206,3.599206,-2.055486,-0.969445,-1.903881,25.234494,81.854584,23.006834,68.879038,16.334110,26.442002,10.934728,31.064970,-87.848181,-44.497965,61.717066,-12.252874,23.623279,-3.978275
23.000000,-0.071700,0.337600,78.936000,2.216956,5.240320,-3.441706,-3.263167,-2.309879,2.510701,9.775806,-11.799894,1.105293,-5.494952,-4.042676,-1.166771,14.180132,-13.801579,3.612728,-2.045975,-0.967497,-1.886635,25.385239,81.563808,24.306073,68.545347,17.466561,26.506746,10.802145,31.088174,-87.508589,-45.539717,61.150640,-13.497453,23.788577,-3.594737
